Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimization,Two-Qubit Gate Depth After Optimization,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
adder_8,adder_8_1e-08_QuckPartitioner3_QSearch,24,40.7456727,409,409,139,139,330,1744,"XGate, CNOTGate, HGate, CCXGate","RZGate, CNOTGate, SqrtXGate,  XGate",QuckPartitioner3,QSearch,0.00000001,less-than-multi,3,2^3,3.473684211,23.46315789,1.305263158,4.136842105,,FALSE,BQSkit
adder_8,adder_8_1e-08_QuckPartitioner3_LEAP,24,22.66245246,409,409,139,139,330,1744,"XGate, CNOTGate, HGate, CCXGate","RZGate, CNOTGate, SqrtXGate,  XGate",QuckPartitioner3,LEAP,0.00000001,less-than-multi,3,2^3,3.473684211,26.98947368,1.305263158,4.842105263,,FALSE,BQSkit
adder_8,adder_8_OptimizationLevel3,24,0.04588627815,409,385,139,135,330,1011,"h, cx, ccx, x","rz, cx, sx, x",,,,,,,,,,,3,FALSE,Qiskit
barenco_tof_10,barenco_tof_10_1e-08_QuckPartitioner3_QSearch,19,28.48839617,192,192,162,162,130,902,"HGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,QSearch,0.00000001,less-than-multi,3,2^3,4.0625,33,1,6,,FALSE,BQSkit
barenco_tof_10,barenco_tof_10_1e-08_QuckPartitioner3_LEAP,19,15.5106082,192,192,162,162,130,902,"HGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,LEAP,0.00000001,less-than-multi,3,2^3,4.0625,37.21875,1,6.84375,,FALSE,BQSkit
barenco_tof_10,barenco_tof_10_OptimizationLevel3,19,0.01963710785,192,192,162,162,130,463,"h, ccx","rz, cx, sx",,,,,,,,,,,3,FALSE,Qiskit
barenco_tof_3,barenco_tof_3_1e-08_QuckPartitioner3_QSearch,5,11.14349747,24,24,22,22,20,124,"HGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,QSearch,0.00000001,less-than-multi,3,2^3,5,33,1,6,,FALSE,BQSkit
barenco_tof_3,barenco_tof_3_1e-08_QuckPartitioner3_LEAP,5,8.468620539,24,24,22,22,20,124,"HGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,LEAP,0.00000001,less-than-multi,3,2^3,5,40.5,1,7.5,,FALSE,BQSkit
barenco_tof_3,barenco_tof_3_OptimizationLevel3,5,0.009318351746,24,24,22,22,20,64,"h, ccx","rz, cx, sx",,,,,,,,,,,3,FALSE,Qiskit
barenco_tof_4,barenco_tof_4_1e-08_QuckPartitioner3_QSearch,7,16.0718472,48,48,42,42,34,230,"HGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,QSearch,0.00000001,less-than-multi,3,2^3,4.25,33,1,6,,FALSE,BQSkit
barenco_tof_4,barenco_tof_4_1e-08_QuckPartitioner3_LEAP,7,9.371937752,48,48,42,42,34,230,"HGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,LEAP,0.00000001,less-than-multi,3,2^3,4.25,39.875,1,7.375,,FALSE,BQSkit
barenco_tof_4,barenco_tof_4_OptimizationLevel3,7,0.01035618782,48,48,42,42,34,121,"h, ccx","rz, cx, sx",,,,,,,,,,,3,FALSE,Qiskit
barenco_tof_5,barenco_tof_5_1e-08_QuckPartitioner3_QSearch,9,13.16650653,72,72,62,62,50,342,"HGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,QSearch,0.00000001,less-than-multi,3,2^3,4.166666667,33,1,6,,FALSE,BQSkit
barenco_tof_5,barenco_tof_5_1e-08_QuckPartitioner3_LEAP,9,9.523353577,72,72,62,62,50,342,"HGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,LEAP,0.00000001,less-than-multi,3,2^3,4.166666667,35.91666667,1,6.583333333,,FALSE,BQSkit
barenco_tof_5,barenco_tof_5_OptimizationLevel3,9,0.01266407967,72,72,62,62,50,178,"h, ccx","rz, cx, sx",,,,,,,,,,,3,FALSE,Qiskit
bqskit_bv_all_ones_10,bqskit_bv_all_ones_10_1e-08_ScanPartitioner3_QSearch,10,2.651493788,9,9,9,9,39,67,"CNOTGate, HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,QSearch,0.00000001,less-than-multi,3,2^3,5.8,11.8,1.8,1.8,,FALSE,BQSkit
bqskit_bv_all_ones_10,bqskit_bv_all_ones_10_1e-08_ScanPartitioner3_LEAP,10,2.75073123,9,9,9,9,39,67,"CNOTGate, HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,LEAP,0.00000001,less-than-multi,3,2^3,5.8,12.8,1.8,2,,FALSE,BQSkit
bqskit_bv_all_ones_10,bqskit_bv_all_ones_10_OptimizationLevel3,10,0.0305056572,9,9,10,9,39,67,"h, measure, cx, x","rz, sx, cx",,,,,,,,,,,3,FALSE,Qiskit
