Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimzation,Two-Qubit Gate Depth After Optimzation,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
csla_mux_3,csla_mux_3_1e-08_QuckPartitioner3_QSearch,15,13.653639793395996,30,80,10,38,70,330,"HGate, CNOTGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,3.684210526315789,20.789473684210527,1.5789473684210522,3.6315789473684212,,False,BQSkit
csla_mux_3,csla_mux_3_1e-08_QuckPartitioner3_LEAP,15,8.681004762649536,30,80,10,38,70,330,"HGate, CNOTGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,3.684210526315789,23.94736842105263,1.5789473684210522,4.2631578947368425,,False,BQSkit
csla_mux_3,csla_mux_3_OptimizationLevel3,15,0.02382493019104,20,69,10,35,70,196,"h, cx, ccx","rz, cx, sx",,,,,,,,,,,3.0,False,Qiskit
gf2^7_mult,gf2^7_mult_1e-08_QuckPartitioner3_QSearch,21,43.86792182922363,55,300,25,115,179,1309,"HGate, CNOTGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,3.442307692307692,31.846153846153847,1.057692307692307,5.769230769230769,,False,BQSkit
gf2^7_mult,gf2^7_mult_1e-08_QuckPartitioner3_LEAP,21,20.07156229019165,55,300,25,115,179,1309,"HGate, CNOTGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,3.442307692307692,36.36538461538461,1.057692307692307,6.673076923076923,,False,BQSkit
gf2^7_mult,gf2^7_mult_OptimizationLevel3,21,0.12197804450988702,6,300,25,115,179,665,"h, ccx, cx","rz, cx, sx",,,,,,,,,,,3.0,False,Qiskit
mod5_4,mod5_4_1e-08_QuckPartitioner3_QSearch,5,9.686824083328247,8,28,8,28,23,123,"XGate, CNOTGate, HGate, CCXGate","XGate, SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.75,33.0,2.0,6.0,,False,BQSkit
mod5_4,mod5_4_1e-08_QuckPartitioner3_LEAP,5,5.959016561508179,8,28,8,28,23,123,"XGate, CNOTGate, HGate, CCXGate","XGate, SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.75,36.75,2.0,6.75,,False,BQSkit
mod5_4,mod5_4_OptimizationLevel3,5,0.00938057899475,4,28,8,28,23,68,"h, ccx, cx, x","rz, cx, sx",,,,,,,,,,,3.0,False,Qiskit
W-state,W-state_1e-08_QuckPartitioner3_QSearch,3,10.467477560043335,3,9,3,9,9,44,"measurement, measurement, XGate, CNOTGate, CCXGate, CircuitGate(Circuit(2)[HGate@(1,) ... XGate@(1,)]), U3Gate, measurement","SqrtXGate, CNOTGate, XGate,  RZGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,16.0,33.0,4.0,6.0,,False,BQSkit
W-state,W-state_1e-08_QuckPartitioner3_LEAP,3,3.024680614471435,3,9,3,9,9,44,"measurement, measurement, XGate, CNOTGate, CCXGate, CircuitGate(Circuit(2)[HGate@(1,) ... XGate@(1,)]), U3Gate, measurement","SqrtXGate, CNOTGate, XGate,  RZGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,16.0,33.0,4.0,6.0,,False,BQSkit
W-state,W-state_OptimizationLevel3,3,0.012308597564697,2,6,3,6,9,40,"measure, x, u3, cH, ccx, cx","rz, sx, cx, x",,,,,,,,,,,3.0,False,Qiskit
qcla_com_7,qcla_com_7_1e-08_QuckPartitioner3_QSearch,24,23.400097608566284,41,186,11,49,153,869,"XGate, CNOTGate, HGate, CCXGate","XGate, SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.1,30.3,1.366666666666666,5.466666666666667,,False,BQSkit
qcla_com_7,qcla_com_7_1e-08_QuckPartitioner3_LEAP,24,12.116149425506592,41,186,11,49,153,869,"XGate, CNOTGate, HGate, CCXGate","XGate, SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.1,36.13333333333333,1.366666666666666,6.633333333333334,,False,BQSkit
qcla_com_7,qcla_com_7_OptimizationLevel3,24,0.021984100341796,12,174,11,47,153,444,"h, ccx, x, cx","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
csum_mux_9,csum_mux_9_1e-08_QuckPartitioner3_QSearch,30,27.67126989364624,28,168,6,32,140,812,"HGate, XGate, CCXGate","XGate, SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.0,33.0,1.0,6.0,,False,BQSkit
csum_mux_9,csum_mux_9_1e-08_QuckPartitioner3_LEAP,30,15.385188102722168,28,168,6,32,140,812,"HGate, XGate, CCXGate","XGate, SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.0,37.107142857142854,1.0,6.821428571428571,,False,BQSkit
csum_mux_9,csum_mux_9_OptimizationLevel3,30,0.020444631576538003,0,168,6,32,140,447,"h, ccx, x","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
barenco_tof_10,barenco_tof_10_1e-08_QuckPartitioner3_QSearch,19,28.488396167755127,32,192,32,162,130,902,"HGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,4.0625,33.0,1.0,6.0,,False,BQSkit
barenco_tof_10,barenco_tof_10_1e-08_QuckPartitioner3_LEAP,19,15.510608196258545,32,192,32,162,130,902,"HGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,4.0625,37.21875,1.0,6.84375,,False,BQSkit
barenco_tof_10,barenco_tof_10_OptimizationLevel3,19,0.019637107849121,0,192,32,162,130,463,"h, ccx","rz, cx, sx",,,,,,,,,,,3.0,False,Qiskit
mod_mult_55,mod_mult_55_1e-08_QuckPartitioner3_QSearch,9,11.093780279159546,13,48,8,28,49,231,"XGate, CNOTGate, HGate, CCXGate","XGate, SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,4.083333333333333,23.083333333333332,1.083333333333333,4.083333333333333,,False,BQSkit
mod_mult_55,mod_mult_55_1e-08_QuckPartitioner3_LEAP,9,8.609639883041382,13,48,8,28,49,231,"XGate, CNOTGate, HGate, CCXGate","XGate, SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,4.083333333333333,24.333333333333332,1.083333333333333,4.333333333333333,,False,BQSkit
mod_mult_55,mod_mult_55_OptimizationLevel3,9,0.010065317153930001,6,48,8,28,49,135,"h, x, ccx, cx","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
tof_5,tof_5_1e-08_QuckPartitioner3_QSearch,9,8.147173643112183,7,42,7,36,35,217,"HGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.0,33.0,1.0,6.0,,False,BQSkit
tof_5,tof_5_1e-08_QuckPartitioner3_LEAP,9,8.570662260055542,7,42,7,36,35,217,"HGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.0,37.285714285714285,1.0,6.857142857142857,,False,BQSkit
tof_5,tof_5_OptimizationLevel3,9,0.011410951614379002,0,42,7,36,35,120,"h, ccx","rz, cx, sx",,,,,,,,,,,3.0,False,Qiskit
