Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimization,Two-Qubit Gate Depth After Optimization,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
qiskit_dtc_46_1.0168_10168,qiskit_dtc_46_1.0168_10168_1e-08_ScanPartitioner3_QSearch,46,4.736851692199707,90,90,4,4,227,411,"RXGate, RZZGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.9565217391304355,22.565217391304348,1.9565217391304341,3.913043478260869,,False,BQSkit
qiskit_dtc_46_1.0168_10168,qiskit_dtc_46_1.0168_10168_1e-08_ScanPartitioner3_LEAP,46,4.779606819152832,90,90,4,4,227,411,"RXGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.9565217391304355,22.782608695652176,1.9565217391304341,3.956521739130434,,False,BQSkit
qiskit_dtc_46_1.0168_10168,qiskit_dtc_46_1.0168_10168_OptimizationLevel3,46,0.055955648422241,90,90,4,4,137,410,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
qiskit_dtc_21_1.1993_11993,qiskit_dtc_21_1.1993_11993_1e-08_ScanPartitioner3_QSearch,21,3.986940622329712,40,40,4,4,102,186,"RXGate, RZZGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.2,23.5,2.0,4.1,,False,BQSkit
qiskit_dtc_21_1.1993_11993,qiskit_dtc_21_1.1993_11993_1e-08_ScanPartitioner3_LEAP,21,4.351120233535767,40,40,4,4,102,186,"RXGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.2,23.0,2.0,4.0,,False,BQSkit
qiskit_dtc_21_1.1993_11993,qiskit_dtc_21_1.1993_11993_OptimizationLevel3,21,0.018513202667236002,40,40,4,4,62,185,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
qiskit_dtc_24_3.9989_39989,qiskit_dtc_24_3.9989_39989_1e-08_ScanPartitioner3_QSearch,24,3.7867271900177,46,46,4,4,117,213,"RXGate, RZZGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.916666666666667,22.583333333333332,1.916666666666666,3.916666666666666,,False,BQSkit
qiskit_dtc_24_3.9989_39989,qiskit_dtc_24_3.9989_39989_1e-08_ScanPartitioner3_LEAP,24,2.918889045715332,46,46,4,4,117,213,"RXGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.916666666666667,23.416666666666668,1.916666666666666,4.083333333333333,,False,BQSkit
qiskit_dtc_24_3.9989_39989,qiskit_dtc_24_3.9989_39989_OptimizationLevel3,24,0.013271093368530001,46,46,4,4,71,212,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
qiskit_dtc_30_8.8127_88127,qiskit_dtc_30_8.8127_88127_1e-08_ScanPartitioner3_QSearch,30,4.4559736251831055,58,58,4,4,147,267,"RXGate, RZZGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.9333333333333345,23.0,1.9333333333333331,4.0,,False,BQSkit
qiskit_dtc_30_8.8127_88127,qiskit_dtc_30_8.8127_88127_1e-08_ScanPartitioner3_LEAP,30,4.783163785934448,58,58,4,4,147,267,"RXGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.9333333333333345,23.0,1.9333333333333331,4.0,,False,BQSkit
qiskit_dtc_30_8.8127_88127,qiskit_dtc_30_8.8127_88127_OptimizationLevel3,30,0.018667221069335,58,58,4,4,89,266,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
qiskit_dtc_47_6.9146_69146,qiskit_dtc_47_6.9146_69146_1e-08_ScanPartitioner3_QSearch,47,4.878807306289673,92,92,4,4,232,420,"RXGate, RZZGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.086956521739131,23.0,2.0,4.0,,False,BQSkit
qiskit_dtc_47_6.9146_69146,qiskit_dtc_47_6.9146_69146_1e-08_ScanPartitioner3_LEAP,47,4.779920339584351,92,92,4,4,232,420,"RXGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.086956521739131,23.869565217391305,2.0,4.173913043478261,,False,BQSkit
qiskit_dtc_47_6.9146_69146,qiskit_dtc_47_6.9146_69146_OptimizationLevel3,47,0.021449565887451002,92,92,4,4,140,419,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
qiskit_dtc_32_5.0832_50832,qiskit_dtc_32_5.0832_50832_1e-08_ScanPartitioner3_QSearch,32,4.340165853500366,62,62,4,4,157,285,"RXGate, RZZGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.9375,22.375,1.9375,3.875,,False,BQSkit
qiskit_dtc_32_5.0832_50832,qiskit_dtc_32_5.0832_50832_1e-08_ScanPartitioner3_LEAP,32,3.722215890884399,62,62,4,4,157,285,"RXGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.9375,23.3125,1.9375,4.0625,,False,BQSkit
qiskit_dtc_32_5.0832_50832,qiskit_dtc_32_5.0832_50832_OptimizationLevel3,32,0.015086650848388,62,62,4,4,95,284,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
qiskit_dtc_45_9.0558_90558,qiskit_dtc_45_9.0558_90558_1e-08_ScanPartitioner3_QSearch,45,4.244246244430542,88,88,4,4,222,402,"RXGate, RZZGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.090909090909091,23.454545454545453,2.0,4.090909090909091,,False,BQSkit
qiskit_dtc_45_9.0558_90558,qiskit_dtc_45_9.0558_90558_1e-08_ScanPartitioner3_LEAP,45,4.183583259582519,88,88,4,4,222,402,"RXGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.090909090909091,24.136363636363637,2.0,4.227272727272727,,False,BQSkit
qiskit_dtc_45_9.0558_90558,qiskit_dtc_45_9.0558_90558_OptimizationLevel3,45,0.019581317901611002,88,88,4,4,134,401,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
qiskit_dtc_40_2.2047_22047,qiskit_dtc_40_2.2047_22047_1e-08_ScanPartitioner3_QSearch,40,3.6827681064605713,78,78,4,4,197,357,"RXGate, RZZGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.95,22.5,1.9500000000000002,3.9,,False,BQSkit
qiskit_dtc_40_2.2047_22047,qiskit_dtc_40_2.2047_22047_1e-08_ScanPartitioner3_LEAP,40,4.083098649978638,78,78,4,4,197,357,"RXGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.95,23.25,1.9500000000000002,4.05,,False,BQSkit
qiskit_dtc_40_2.2047_22047,qiskit_dtc_40_2.2047_22047_OptimizationLevel3,40,0.019457101821899,78,78,4,4,119,356,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
qiskit_dtc_8_4.0639_40639,qiskit_dtc_8_4.0639_40639_1e-08_ScanPartitioner3_QSearch,8,4.001863241195679,14,14,4,4,37,69,"RXGate, RZZGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.75,20.5,1.75,3.5,,False,BQSkit
qiskit_dtc_8_4.0639_40639,qiskit_dtc_8_4.0639_40639_1e-08_ScanPartitioner3_LEAP,8,3.835685729980468,14,14,4,4,37,69,"RXGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.75,21.75,1.75,3.75,,False,BQSkit
qiskit_dtc_8_4.0639_40639,qiskit_dtc_8_4.0639_40639_OptimizationLevel3,8,0.012120246887207002,14,14,4,4,23,68,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
qiskit_dtc_30_9.3691_93691,qiskit_dtc_30_9.3691_93691_1e-08_ScanPartitioner3_QSearch,30,3.921676874160766,58,58,4,4,147,267,"RXGate, RZZGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.9333333333333345,22.333333333333332,1.9333333333333331,3.8666666666666663,,False,BQSkit
qiskit_dtc_30_9.3691_93691,qiskit_dtc_30_9.3691_93691_1e-08_ScanPartitioner3_LEAP,30,3.687677860260009,58,58,4,4,147,267,"RXGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.9333333333333345,22.333333333333332,1.9333333333333331,3.8666666666666663,,False,BQSkit
qiskit_dtc_30_9.3691_93691,qiskit_dtc_30_9.3691_93691_OptimizationLevel3,30,0.013777017593383001,58,58,4,4,89,266,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
qiskit_dtc_43_6.3676_63676,qiskit_dtc_43_6.3676_63676_1e-08_ScanPartitioner3_QSearch,43,4.10167670249939,84,84,4,4,212,384,"RXGate, RZZGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.095238095238095,23.238095238095237,2.0,4.0476190476190474,,False,BQSkit
